Time, x, y, z,,,,,,,,,,,
14.43429959,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.44393456,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.46996868,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.49924458,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.52563656,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.54801167,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.8637327,0.153,-5.516,1.379,32.351306,-4.112179152,STABLE,,,,,,,,
14.87486375,-1.838,-10.573,3.064,124.554669,1.36040631,CHANGE,,,,,,,,
14.89840973,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
14.92538178,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
14.95174659,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
14.97605074,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
15.00894964,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
15.03002775,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
15.06074679,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
15.09197772,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
15.11727369,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
15.14616669,-1.838,-10.573,3.064,124.554669,1.36040631,STABLE,,,,,,,,
15.16735375,0.153,-8.734,0.459,76.516846,-1.052609189,CHANGE,,,,,,,,
15.18567575,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.2122506,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.24220956,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.27294577,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.29428471,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.31741059,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.34055675,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.62459768,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.66820277,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.69929375,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.73668779,0.153,-8.734,0.459,76.516846,-1.052609189,STABLE,,,,,,,,
15.77164377,0.766,-8.581,-8.274,142.679393,2.144847969,CHANGE,,,,,,,,
15.80109872,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.82845582,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.8381647,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.84896268,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.85885085,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.87137569,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.90259971,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.91353168,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.92399682,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.94632663,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.95672072,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.96687664,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.97859563,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
15.98847879,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
16.00562777,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
16.02705683,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
16.04683079,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
16.0666417,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
